"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Population ages 15-64, female","SP.POP.1564.FE.IN","546443","557377","570458","585277","601105","617777","635911","655571","677027","700405","725584","755564","785810","816288","847269","878691","907158","936457","965387","992465","1017095","1038641","1056708","1072624","1088608","1105773","1125490","1146167","1163756","1173570","1173603","1159539","1136704","1109616","1084336","1064879","1056162","1054278","1057129","1061036","1063273","1065865","1065903","1064760","1064711","1066918","1067575","1070802","1075403","1079520","1082169","1084038","1085466","1086045","1085840","1084851","1083197","1080472","1076744","1072015","",
"Armenia","ARM","Women who were first married by age 18 (% of women ages 20-24)","SP.M18.2024.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","","","","","9.9","","","","","7.2","","","","","","5.3","","","","",
"Armenia","ARM","Birth rate, crude (per 1,000 people)","SP.DYN.CBRT.IN","38.509","37.217","35.561","33.629","31.54","29.447","27.496","25.786","24.389","23.355","22.694","22.366","22.262","22.283","22.382","22.53","22.721","22.961","23.243","23.538","23.823","24.082","24.297","24.446","24.502","24.431","24.207","23.826","23.292","22.609","21.768","20.764","19.627","18.41","17.172","15.991","14.947","14.092","13.457","13.062","12.91","12.98","13.208","13.524","13.884","14.244","14.572","14.855","15.08","15.233","15.304","15.297","15.232","15.125","14.979","14.795","14.568","14.298","13.987","13.646","",
"Armenia","ARM","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0799999237061","18.7900009155273","18.7099990844727","19.9799995422363","20.0300006866455","18.6100006103516","16.7800006866455","17.4699993133545","17.5300006866455","16.8199996948242","17.8199996948242","20.9599990844727","16.7800006866455","",
"Armenia","ARM","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0499992370605","47.4099998474121","48.3899993896484","52.25","52.4500007629395","51","53.1699981689453","53.7099990844727","50.5999984741211","50.0999984741211","50.2000007629395","44.3199996948242","46.1300010681152","",
"Armenia","ARM","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.4100036621094","72.620002746582","72.75","72.8000030517578","72.7399978637695","72.5699996948242","72.2300033569336","71.8099975585938","71.3499984741211","70.879997253418","70.4300003051758","70.2600021362305","70.1399993896484","70.0800018310547","70.120002746582","70.25","70.5100021362305","70.8399963378906","70.8600006103516","72.0100021362305","76.4400024414063","76.2600021362305","76.4300003051758","76.5299987792969","75.7300033569336","75.0800018310547","74.6900024414063","74.25","73.879997253418","73.7399978637695","",
"Armenia","ARM","Average working hours of children, study and work, ages 7-14 (hours per week)","SL.TLF.0714.SW.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","","","","","","","","","","",
"Armenia","ARM","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5700006484985","39.7499990463257","41.8400001525879","43.6900005340577","45.0499992370605","46.1599998474121","47.1399993896484","47.670000076294","48.3700008392334","48.9799995422364","49.1399993896484","48.829999923706","48.1000003814697","47.3099994659424","46.2800006866455","44.9599990844727","43.2399997711182","41.8999996185302","42.5900001525879","42.6199989318848","43.8000001907349","43.0999994277954","42.3400001525879","42.7299990653992","41.8899993896484","40.9099998474121","39.1199991703033","34.700000166893","33.0700008869171","",
"Armenia","ARM","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","SL.EMP.1524.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3799991607666","29.9300003051758","28.3400001525879","27.5499992370605","27.1700000762939","26.1200008392334","25.4899997711182","25.8299999237061","25.2199993133545","25.2900009155273","25.4300003051758","25.5499992370605","25.7099990844727","25.9599990844727","26.2900009155273","26.75","27.2800006866455","23.7199993133545","19.7199993133545","21.4500007629395","23.8299999237061","25.4699993133545","25.3500003814697","24.3099994659424","27.5200004577637","22.9599990844727","22.4699993133545","23.5699996948242","22.5200004577637","",
"Armenia","ARM","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","","3.1","2.2","1.2","1.3","0.6","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.4","0.2","0.2","0.2","0.1","0.2","0.1","",
"Armenia","ARM","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.2189064","35.1088829","35.51992416","42.70059967","52.26223373","70.5585022","88.98429108","106.66482544","108.10638428","114.61947632","110.71628571","117.43136597","120.71498108","110.0949707","126.53643036","140.52908325","144.22674561","132.04710388","127.96128082","","",
"Armenia","ARM","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Prevalence of wasting, weight for height, male (% of children under 5)","SH.STA.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","","2.6","","","","","5.6","","","","","4.9","","","","","","4","","","","",
